Title,Author,Link,Bookshelf,readlink,imglink
Music as a Language: Lectures to Music Students,Ethel Home,http://www.gutenberg.org/ebooks/16225,,https://www.gutenberg.org/cache/epub/16225/pg16225-images.html,https://www.gutenberg.org/cache/epub/16225/pg16225.cover.medium.jpg
Portraits et études; Lettres inédites de Georges Bizet,Bizet and Imbert,http://www.gutenberg.org/ebooks/25863,,https://www.gutenberg.org/cache/epub/25863/pg25863-images.html,https://www.gutenberg.org/cache/epub/25863/pg25863.cover.medium.jpg
Sketch of Handel and Beethoven,Thomas Hanly Ball,http://www.gutenberg.org/ebooks/27502,,https://www.gutenberg.org/cache/epub/27502/pg27502-images.html,https://www.gutenberg.org/cache/epub/27502/pg27502.cover.medium.jpg
Cardinal Newman as a Musician,Edward Bellasis,http://www.gutenberg.org/ebooks/26427,,https://www.gutenberg.org/cache/epub/26427/pg26427-images.html,https://www.gutenberg.org/cache/epub/26427/pg26427.cover.medium.jpg
"On the Execution of Music, and Principally of Ancient Music",Camille Saint-Saëns,http://www.gutenberg.org/ebooks/30412,,https://www.gutenberg.org/cache/epub/30412/pg30412-images.html,https://www.gutenberg.org/cache/epub/30412/pg30412.cover.medium.jpg
"The Voice: Its Production, Care and Preservation",Frank E. Miller,http://www.gutenberg.org/ebooks/30854,,https://www.gutenberg.org/cache/epub/30854/pg30854-images.html,https://www.gutenberg.org/cache/epub/30854/pg30854.cover.medium.jpg
St. Gregory and the Gregorian Music,E. G. P. Wyatt,http://www.gutenberg.org/ebooks/31582,,https://www.gutenberg.org/cache/epub/31582/pg31582-images.html,https://www.gutenberg.org/cache/epub/31582/pg31582.cover.medium.jpg
The Standard Operaglass,pseud. Charles Annesley,http://www.gutenberg.org/ebooks/24647,,https://www.gutenberg.org/cache/epub/24647/pg24647-images.html,https://www.gutenberg.org/cache/epub/24647/pg24647.cover.medium.jpg
"Don Álvaro, o, La fuerza del Sino",duque de Angel de Saavedra Rivas,http://www.gutenberg.org/ebooks/59492,,https://www.gutenberg.org/cache/epub/59492/pg59492-images.html,https://www.gutenberg.org/cache/epub/59492/pg59492.cover.medium.jpg
Parsifal,Oliver Huckel and Richard Wagner,http://www.gutenberg.org/ebooks/11633,,https://www.gutenberg.org/cache/epub/11633/pg11633-images.html,https://www.gutenberg.org/cache/epub/11633/pg11633.cover.medium.jpg
Stories of the Wagner Opera,H. A. Guerber,http://www.gutenberg.org/ebooks/16840,,https://www.gutenberg.org/cache/epub/16840/pg16840-images.html,https://www.gutenberg.org/cache/epub/16840/pg16840.cover.medium.jpg
Zanetto; and Cavalleria Rusticana,"Mascagni, Menasci, Targioni-Tozzetti, and Day",http://www.gutenberg.org/ebooks/14370,,https://www.gutenberg.org/cache/epub/14370/pg14370-images.html,https://www.gutenberg.org/cache/epub/14370/pg14370.cover.medium.jpg
The Girl of the Golden West,David Belasco,http://www.gutenberg.org/ebooks/16551,,https://www.gutenberg.org/cache/epub/16551/pg16551-images.html,https://www.gutenberg.org/cache/epub/16551/pg16551.cover.medium.jpg
The Iphigenia in Tauris of Euripides,Euripides,http://www.gutenberg.org/ebooks/5063,,https://www.gutenberg.org/cache/epub/5063/pg5063-images.html,https://www.gutenberg.org/cache/epub/5063/pg5063.cover.medium.jpg
La Tosca: Drame en cinq actes,Victorien Sardou,http://www.gutenberg.org/ebooks/19540,,https://www.gutenberg.org/cache/epub/19540/pg19540-images.html,https://www.gutenberg.org/cache/epub/19540/pg19540.cover.medium.jpg
Manon Lescaut,abbé Prévost,http://www.gutenberg.org/ebooks/17983,,https://www.gutenberg.org/cache/epub/17983/pg17983-images.html,https://www.gutenberg.org/cache/epub/17983/pg17983.cover.medium.jpg
Libretto: La Bohème,Giuseppe Giacosa and Luigi Illica,http://www.gutenberg.org/ebooks/13843,,https://www.gutenberg.org/cache/epub/13843/pg13843-images.html,https://www.gutenberg.org/cache/epub/13843/pg13843.cover.medium.jpg
"The Standard Operas: Their Plots, Their Music, and Their Composers",Upton,http://www.gutenberg.org/ebooks/14968,,https://www.gutenberg.org/cache/epub/14968/pg14968-images.html,https://www.gutenberg.org/cache/epub/14968/pg14968.cover.medium.jpg
Giacomo Puccini,Wakeling Dry,http://www.gutenberg.org/ebooks/43873,,https://www.gutenberg.org/cache/epub/43873/pg43873-images.html,https://www.gutenberg.org/cache/epub/43873/pg43873.cover.medium.jpg
La Esmeralda,Victor Hugo,http://www.gutenberg.org/ebooks/13628,,https://www.gutenberg.org/cache/epub/13628/pg13628-images.html,https://www.gutenberg.org/cache/epub/13628/pg13628.cover.medium.jpg
Debussy's Pelléas et Mélisande,Lawrence Gilman,http://www.gutenberg.org/ebooks/16488,,https://www.gutenberg.org/cache/epub/16488/pg16488-images.html,https://www.gutenberg.org/cache/epub/16488/pg16488.cover.medium.jpg
"A Book of Operas: Their Histories, Their Plots, and Their Music",Krehbiel,http://www.gutenberg.org/ebooks/5724,,https://www.gutenberg.org/cache/epub/5724/pg5724-images.html,https://www.gutenberg.org/cache/epub/5724/pg5724.cover.medium.jpg
"Life And Letters Of John Gay (1685-1732), Author of ""The Beggar's Opera""",,http://www.gutenberg.org/ebooks/13790,,https://www.gutenberg.org/cache/epub/13790/pg13790-images.html,https://www.gutenberg.org/cache/epub/13790/pg13790.cover.medium.jpg
